title,company,location,skills
Manager Site Contracts Management,Precision Medicine Group,Serbia,"manager, support, finance, management, non tech"
Bilingual Customer Success Manager,Acuity Insights,,"manager, saas, salesforce, embedded, recruiter, support, test, growth, travel, video, education, leader, go, health, engineering"
People Operations Manager,CharterUP,"Austin, TX","manager, system, growth, operations"
Director of Product Marketing,Medallion,,"director, salesforce, strategy, lead, operations, marketing, healthcare, non tech"
Operations Project Manager,Xsolla,,"manager, training, game, gaming, support, financial, video, fintech, management, operations, operational, educational, non tech"
WordPress Developer,Data Group,,dev
Sales Development Representative,RTB House,Germany,"leader, strategy, sales"
Account Executive Enterprise,Glia,,"saas, growth, voice, financial, leader, strategy, sales, executive"
Platform Administrator,SharkNinja,,"design, amazon, system, support, growth, devops, cloud, administrator, digital nomad"
Full Cycle Recruiter Sourcing Specialist,Huzzle,,"technical, recruiter, management, recruitment"
Project Coordinator Pharmacy Benefit Management Procurements,Pharmaceutical Strategies Group LLC,,"coordinator, support, growth, manager, microsoft, management"
Senior Associate Finance,Pearl,India,"support, testing, accounting, financial, finance, bank, senior, excel, executive, non tech"
Program Manager Major Deployments,Skydio,,"manager, design, technical, support, software, travel, financial, leader, management, lead, senior, operational, analytics, health, engineering, full-time, digital nomad"
Senior Manager of Revenue Cycle Management,AnswersNow Inc,,"manager, financial, finance, management, lead, senior, operations, operational, healthcare, executive, non tech"
Principal Technologist Office of the CTO,Clover Health,USA,"cto, ceo, technical, voice, operations, operational, medical"
Account Director,MERGE,Remote,"director, leader, management, lead, senior, marketing, health, healthcare, non tech"
Customer Program Manager,Nexxa.AI,Sunnyvale,"manager, jira, training, consulting, cto, technical, qa, management, operations, operational, engineering"
Data Scientist Claim Experience Analytics,Extend,"Remote, US","operational, analytics, engineering"
Senior Software Engineer Full Stack,Grow Therapy,"New York, NY","software, system, technical, senior, healthcare, engineer, engineering"
Software Engineer,Clover Health,USA,"software, design, financial, cloud, management, operational, medical, health, healthcare, engineer, digital nomad"
Sales Executive Telecoms & Networking,WebProps.org,,"sales, executive"
Biomedical Clinical Engineer Senior,Ibility,Washington DC,"design, system, security, technical, management, senior, health, healthcare, engineer, engineering, digital nomad"
Clinical Psychologist,LifeStance Health,"Crofton, MD","adult, lead, medical, health, healthcare, non tech"
Head of Finance North America,Adyen,San Francisco,"technical, support, growth, financial, finance, microsoft, lead, senior"
Manager of Revenue Operations,LatamCent,,"manager, design, technical, support, growth, management, lead, operations, operational, marketing, sales, digital nomad"
Product Security Manager,MoonPay,United States (East Coast Time Zone) - Remote,"security, manager, design, web3, crypto, system, training, technical, support, software, testing, code, voice, financial, serverless, cloud, leader, management, lead, operations, healthcare, engineering, digital nomad"
Applied Computational Nutrition Scientist,WISEcode,United States,"system, support, test, code, math, lead"
Staff Machine Learning Engineer,Fullscript,,"design, system, python, technical, support, code, senior, go, health, healthcare, engineer, engineering, backend, digital nomad"
Cloud Security Engineer,MoonPay,,"security, crypto, system, swift, training, technical, support, code, voice, financial, cloud, management, lead, healthcare, engineer, engineering"
Senior Security Engineer Automation,MoonPay,,"security, crypto, system, swift, training, technical, support, software, voice, financial, cloud, api, strategy, management, senior, operational, excel, healthcare, engineer, engineering, backend"
Clinician Experience Specialist,Nabla,New York City,"support, software, travel, assistant, financial, video, senior, operations, excel, health, healthcare, engineering, recruitment, educational"
Content &amp; Training Manager,Fi,"New York, NY","training, manager, support, education, management, content, senior, full-time, non tech"
Staff Software Engineer Platform,SmithRx,,"software, design, system, test, management, healthcare, engineer, engineering, digital nomad"
Senior Staff Data Engineer,SmithRx,Remote,"system, management, senior, analytics, healthcare, engineer, engineering"
AI Data Specialist,micro1,,"senior, marketing, saas, finance, legal, medical, other, stats, exec"
Engenharia Software Engineer III Golang Elixir,Stone,Remoto,"software, golang, engineer"
Salesforce Technical Consultant,Hunt St,,"salesforce, consultant, jira, system, technical, support, developer, web, financial, administrator, management, legal, digital nomad"
Nurse Practitioner Weekdays 9 00am 6 00pm PST Telehealth Primary Care,Curai,Remote,"video, education, health, healthcare, non tech"
Senior Software Engineer C++ Windows SDK WIN32 API,Ivanti,Hyderabad,"software, design, saas, security, technical, support, c++, cloud, api, microsoft, management, lead, senior, reliability, engineer, engineering, digital nomad"
Senior Backend Engineer Integrations,Arbiter AI,New York City,"design, system, python, technical, support, financial, cloud, api, senior, operational, health, healthcare, engineer, engineering, backend, digital nomad"
Product Marketing Manager Ecommerce,GetResponse,,"manager, design, saas, recruiter, support, test, growth, video, strategy, content, marketing, sales, health, recruitment, educational, ecommerce, digital nomad"
Brand & Growth Designer,Fluxon,Portugal,"growth, design, designer, support, senior, marketing, sales, engineering, branding, digital nomad"
Scientific Director Medical Affairs,Iovance Biotherapeutics,,"director, system, support, education, leader"
VP Data Engineering,Consumer Edge,New York,"technical, financial, investment, cloud, management, lead, engineering"
Social Media Content Creator,Remote Chess Academy,,"design, full time, Content Creator"
Senior Payroll Associate Indian Payroll India,Deel,,"payroll, hr, technical, support, software, cloud, microsoft, leader, management, lead, senior, junior, healthcare"
Associate Director CMC,Allucent,,"director, training, consulting, technical, support, growth, manager, management, lead, content, operations, health, recruitment"
Talent Partner,Cloudbeds,Peru,"support, strategy, operations, recruiting, recruitment"
Spanish Speaking Customer Service Agent For Electronics Company Work Greece,Mercier Consultancy Group,,"consulting, system, swift, consultancy, support, software"
Principal Data Engineer,Waymark,,"technical, health, healthcare, engineer, engineering, backend"
Associate Social Media Engagement Manager,Nex,,"manager, design, system, gaming, support, content, educational, digital nomad"
Product Designer,OpenRouter,,"design, frontend, designer, technical, developer, growth, code, api, marketing, analytics, engineering, digital nomad"
Site Reliability Engineer US West,MinIO,,"software, devops, leader, reliability, engineer, engineering"
Principal Solution Architect Professional Services Finance,Anaplan,Minneapolis,"architect, design, consulting, support, finance, lead, senior, sales, digital nomad"
Senior Technical Success Manager,New Relic,Bangalore,"manager, technical, management, senior, executive"
Senior Talent Acquisition Coordinator,New Relic,Hyderabad,"coordinator, video, senior, non tech"
